iter	MultiClass
0	3.177043745
1	2.831611337
2	2.520567862
3	2.3360155
4	2.208309612
5	2.022013868
6	1.919622428
7	1.813065372
8	1.734315511
9	1.633970112
10	1.5831851
11	1.493135759
12	1.437925226
13	1.380303178
14	1.334672079
15	1.260099249
16	1.220386325
17	1.183724789
18	1.10684661
19	1.073830902
20	1.047503384
21	1.007742113
22	0.9590545222
23	0.8902989861
24	0.8413694386
25	0.7992469222
26	0.7798237987
27	0.7607732768
28	0.7358132639
29	0.7067811548
30	0.6744057999
31	0.6566030992
32	0.6413019969
33	0.6205159182
34	0.5953156838
35	0.5817889857
36	0.5491839755
37	0.5392402554
38	0.5086585113
39	0.4830736557
40	0.474017866
41	0.4636169263
42	0.4488409445
43	0.438168092
44	0.4301633264
45	0.4226285946
46	0.413717042
47	0.4012616492
48	0.3871567035
49	0.3755209913
50	0.3675410223
51	0.3590352512
52	0.3530910368
53	0.3467696536
54	0.3365384478
55	0.32961087
56	0.3210648105
57	0.3093647699
58	0.3039378346
59	0.2930093673
60	0.2885593638
61	0.281542938
62	0.2702632815
63	0.2621816577
64	0.2518869774
65	0.2441980187
66	0.2383140317
67	0.2299688741
68	0.2262487477
69	0.2211343028
70	0.2142185986
71	0.2101817425
72	0.204028944
73	0.2008993326
74	0.197025452
75	0.1915719513
76	0.1875405096
77	0.1796132003
78	0.1762288192
79	0.1727737093
80	0.1690539439
81	0.1626587538
82	0.1570152653
83	0.152605991
84	0.1494389816
85	0.1452931763
86	0.1432846642
87	0.1379970245
88	0.1348023585
89	0.1329290866
90	0.1307795827
91	0.1291246699
92	0.127709966
93	0.1245986498
94	0.1221225803
95	0.1192722326
96	0.1177829538
97	0.1153565856
98	0.1119998595
99	0.1092971478
100	0.1080706513
101	0.105790792
102	0.1039681933
103	0.1024963329
104	0.1002850751
105	0.09816190979
106	0.09597822729
107	0.09435409706
108	0.09222934894
109	0.09114171665
110	0.09027620304
111	0.08825891789
112	0.08570546159
113	0.08448334728
114	0.08344016984
115	0.08204197671
116	0.08127584126
117	0.08029009909
118	0.07940856905
119	0.07709944388
120	0.07623070166
121	0.07493211301
122	0.0740245979
123	0.07291183454
124	0.07178581544
125	0.07081628682
126	0.06987952253
127	0.06903377457
128	0.0682618585
129	0.06741766828
130	0.0667574675
131	0.0658843458
132	0.06526336639
133	0.0645499799
134	0.0639672863
135	0.0634376167
136	0.0627771036
137	0.06227468814
138	0.06050735773
139	0.05889384966
140	0.05773002428
141	0.05692856846
142	0.05636890979
143	0.05598460618
144	0.05552615672
145	0.05509703715
146	0.05418031073
147	0.0536448312
148	0.05310000334
149	0.05254407272
150	0.05203154911
151	0.05157206464
152	0.05096058214
153	0.04987626559
154	0.04933086988
155	0.04888523949
156	0.04850641583
157	0.04810327356
158	0.04717801931
159	0.04601010664
160	0.04517668302
161	0.04469594359
162	0.0444058466
163	0.0437457934
164	0.04330456947
165	0.04272143116
166	0.04227023913
167	0.04201291242
168	0.04170522126
169	0.0411135698
170	0.04069598956
171	0.04029048899
172	0.03997358011
173	0.0396188339
174	0.03922558362
175	0.03875427544
176	0.03836520798
177	0.03797729659
178	0.03762185967
179	0.03728953138
180	0.03708897972
181	0.03670108891
182	0.03641139914
183	0.03598787535
184	0.03573644095
185	0.0354581439
186	0.03499482753
187	0.034784639
188	0.03446386588
189	0.03406052016
190	0.0336833218
191	0.03342293694
192	0.033158411
193	0.03289327191
194	0.03258767453
195	0.03232645283
196	0.03216251016
197	0.0319337677
198	0.03167199807
199	0.03143161042
200	0.0311081014
201	0.03092880379
202	0.03075602656
203	0.03032493598
204	0.02996689097
205	0.02967461258
206	0.02942714254
207	0.02924720899
208	0.02904096122
209	0.02888069671
210	0.02864249323
211	0.02852696164
212	0.0283082578
213	0.02795767007
214	0.02773614266
215	0.02736943205
216	0.02722628859
217	0.02699286427
218	0.02689341297
219	0.02665082096
220	0.02634509917
221	0.0261980656
222	0.02610586578
223	0.02593946241
224	0.0257922048
225	0.02551927884
226	0.02536430206
227	0.02514297017
228	0.02491117559
229	0.02467807621
230	0.0245243245
231	0.02443218107
232	0.02422247571
233	0.02408896676
234	0.02388327548
235	0.02370087398
236	0.02360013401
237	0.02332293897
238	0.02326291344
239	0.02317691554
240	0.02304853638
241	0.02295638992
242	0.02285485419
243	0.02279105962
244	0.02267152512
245	0.02252429134
246	0.02242871753
247	0.02212760886
248	0.02199266516
249	0.02189524533
250	0.0216880971
251	0.02156262479
252	0.0214712913
253	0.02136055815
254	0.02130635743
255	0.0212284034
256	0.02098066235
257	0.0208882784
258	0.02080301315
259	0.02064515106
260	0.02050587256
261	0.02041556866
262	0.02035571411
263	0.02022461843
264	0.02011792061
265	0.01997631992
266	0.01983396972
267	0.01967877084
268	0.01947523447
269	0.01942297084
270	0.01933637101
271	0.0192393429
272	0.01907383838
273	0.018848549
274	0.01878107425
275	0.01868020759
276	0.01859225213
277	0.01849003636
278	0.01837932762
