iter	Passed	Remaining
174	44442	209516
175	44722	209384
176	44968	209091
177	45246	208945
178	45399	208231
179	45682	208107
180	45912	207748
181	46099	207193
182	46406	207180
183	46669	206968
184	46953	206849
185	47118	206208
186	47300	205642
187	47499	205158
188	47728	204803
189	47921	204295
190	48263	204426
191	48553	204329
192	48849	204256
193	49025	203682
194	49224	203209
195	49413	202694
196	49580	202097
197	49785	201656
198	50166	201926
199	50435	201740
200	50729	201656
201	50930	201200
202	51128	200736
203	51285	200114
204	51572	200000
205	51783	199594
206	52036	199346
207	52399	199519
208	52628	199182
209	52854	198833
210	53035	198318
211	53262	197977
212	53404	197319
213	53609	196901
214	53840	196580
215	54246	196894
216	54534	196775
217	54735	196343
218	54912	195828
219	55048	195172
220	55263	194798
221	55425	194239
222	55604	193743
223	55900	193655
224	56364	194144
225	56648	194009
226	56844	193571
227	57003	193011
228	57295	192904
229	57550	192669
230	57731	192188
231	58073	192243
232	58375	192164
233	58988	193100
234	59336	193159
235	59467	192513
236	59770	192426
237	60046	192249
238	60314	192047
239	60581	191840
240	60807	191504
241	61015	191115
242	61259	190837
243	61410	190272
244	61567	189728
245	61770	189328
246	61953	188870
247	62271	188824
248	62535	188611
249	62780	188341
250	63002	188003
251	63182	187542
252	63385	187149
253	63652	186947
254	63873	186611
255	64143	186416
256	64555	186633
257	64820	186422
258	65022	186028
259	65190	185541
260	65387	185139
261	65553	184651
262	65872	184593
263	66112	184314
264	66462	184338
265	66685	184010
266	66896	183651
267	67069	183189
268	67252	182757
269	67404	182243
270	67583	181803
271	67764	181370
272	67967	180997
273	68357	181122
274	68623	180916
275	68865	180647
276	69005	180112
277	69135	179552
278	69417	179391
279	69588	178943
280	69762	178502
281	70060	178380
282	70417	178408
283	70660	178143
284	70827	177691
285	70955	177141
286	71096	176627
287	71307	176287
288	71451	175785
289	71774	175723
290	72068	175589
291	72448	175663
292	72668	175346
293	72824	174877
294	72988	174430
295	73135	173943
296	73331	173574
297	73469	173073
298	73687	172758
299	73962	172579
300	74330	172614
301	74523	172243
302	74682	171793
303	74841	171347
304	74974	170842
305	75141	170418
306	75360	170112
307	75509	169651
308	75802	169512
309	76078	169336
310	76438	169344
311	76631	168982
312	76786	168537
313	76950	168115
314	77132	167733
315	77323	167370
316	78410	168941
317	78773	168942
318	79074	168807
319	79357	168634
320	79835	168873
321	80289	169057
322	80753	169258
323	81017	169037
324	81454	169174
325	81678	168868
326	81878	168513
327	82053	168110
328	82243	167737
329	82506	167512
330	82712	167173
331	83133	167267
332	84247	168748
333	84517	168528
334	84882	168497
335	85055	168086
336	85249	167716
337	85503	167465
338	85926	167543
339	86205	167340
340	86525	167214
341	86895	167184
342	87170	166970
343	87407	166683
344	87584	166283
345	87853	166057
346	88339	166240
347	88565	165933
348	88759	165565
349	88911	165120
350	89065	164682
351	89262	164323
352	89428	163910
353	89643	163586
354	89907	163352
355	90167	163111
356	90516	163030
357	90704	162659
358	90864	162239
359	91019	161813
360	91159	161360
361	91367	161029
362	91500	160567
363	91786	160373
364	92072	160181
365	92460	160163
366	92684	159861
367	92855	159469
368	93017	159062
369	93173	158645
370	93368	158298
371	93536	157905
372	93725	157550
373	94058	157434
374	94427	157378
375	94708	157175
376	94860	156759
377	95000	156324
378	95148	155903
379	95460	155751
380	95664	155423
381	95996	155302
382	96265	155081
383	96853	155369
384	97488	155728
385	97644	155320
386	97838	154974
387	98044	154647
388	98219	154273
389	98479	154031
390	98706	153740
391	98945	153466
392	99163	153161
393	99405	152892
394	99560	152490
395	99741	152131
396	99967	151839
397	100130	151454
398	100498	151377
399	100714	151072
400	100954	150802
401	101199	150541
402	101440	150273
403	101594	149877
404	101793	149548
405	101970	149188
406	102187	148888
407	102521	148756
408	102772	148505
409	103042	148280
410	103184	147872
411	103373	147532
412	103541	147164
413	103702	146786
414	103893	146451
415	104094	146132
416	104447	146025
417	104660	145723
418	104921	145487
419	105061	145084
420	105197	144677
421	105429	144403
422	105576	144013
423	105747	143657
424	105957	143353
425	106334	143276
426	106661	143131
427	106853	142804
428	107001	142418
429	107162	142052
430	107387	141771
431	107554	141414
432	107736	141077
433	108004	140854
434	108405	140802
435	108657	140556
436	108875	140267
437	109103	139991
438	109252	139614
439	109659	139567
440	109990	139421
441	110472	139464
442	110716	139207
443	110999	138999
444	111513	139078
445	112135	139288
446	112506	139185
447	112779	138960
448	112996	138665
449	113156	138302
450	113454	138107
451	113610	137739
452	113836	137458
453	114126	137253
454	114538	137193
455	114787	136939
456	115008	136651
457	115175	136299
458	116057	136790
459	116510	136773
460	116918	136701
461	117233	136518
462	117536	136321
463	117932	136232
464	118422	136249
465	118708	136030
466	119029	135851
467	119360	135682
468	119608	135419
469	119782	135074
470	119973	134747
471	120177	134435
472	120432	134182
473	120631	133865
474	120867	133590
475	121115	133329
476	121393	133099
477	121570	132761
478	121771	132448
479	121964	132128
480	122152	131802
481	122434	131579
482	122668	131303
483	122898	131024
484	123170	130789
485	123372	130480
486	123518	130112
487	123706	129790
488	123917	129492
489	124125	129192
490	124423	128985
491	124695	128750
492	124946	128494
493	125163	128203
494	125390	127923
495	125540	127565
496	125705	127222
497	125908	126919
498	126108	126613
499	126430	126430
500	126669	126163
501	126915	125904
502	127113	125597
503	127320	125300
504	127455	124931
505	127653	124626
506	127855	124324
507	128053	124019
508	128406	123865
509	128656	123610
510	128925	123374
511	129092	123041
512	129257	122706
513	129417	122367
514	129606	122056
515	129789	121740
516	129996	121447
517	130313	121257
518	130611	121048
519	130831	120767
520	131034	120471
521	131170	120114
522	131382	119826
523	131554	119504
524	131734	119188
525	131946	118902
526	132338	118778
527	132590	118527
528	132805	118244
529	132950	117899
530	133097	117557
531	133327	117287
532	133470	116943
533	133624	116608
534	134397	116812
535	134621	116537
536	134859	116275
537	135078	115996
538	135483	115877
539	135920	115784
540	136270	115615
541	136615	115442
542	136889	115208
543	137083	114908
544	137232	114569
545	137447	114287
546	137611	113963
547	137780	113643
548	138026	113387
549	138415	113248
550	138699	113023
551	138897	112728
552	139063	112407
553	139211	112073
554	139420	111787
555	139618	111494
556	139782	111173
557	139999	110895
558	140406	110767
559	140638	110501
560	140877	110241
561	141037	109919
562	141181	109584
563	141364	109281
564	141518	108956
565	141740	108684
566	141951	108403
567	142352	108267
568	142589	108007
569	142811	107734
570	142968	107414
571	143121	107090
572	143336	106814
573	143505	106503
574	143779	106272
575	144182	106134
576	144710	106087
577	145150	105974
578	145570	105846
579	145830	105601
580	146100	105363
581	146448	105181
582	146710	104936
583	146933	104665
584	147142	104383
585	147303	104067
586	147506	103782
587	147683	103478
588	147943	103234
589	148256	103025
590	148484	102758
591	148722	102497
592	148868	102174
593	149056	101880
594	149229	101576
595	149404	101274
596	149606	100990
597	149878	100754
598	150223	100566
599	150470	100313
600	150674	100031
601	150816	99708
602	151058	99452
603	151222	99145
604	151447	98878
605	151634	98587
606	152026	98429
607	152611	98394
608	153108	98301
609	153398	98074
610	153614	97800
611	153799	97506
612	154046	97252
613	154228	96958
614	154453	96690
615	154714	96445
616	154933	96174
617	155103	95873
618	155256	95561
619	155421	95258
620	155600	94963
621	155800	94682
622	156068	94442
623	156321	94193
624	156554	93932
625	156737	93641
626	156994	93395
627	157137	93081
628	157275	92765
629	157486	92491
630	157670	92203
631	158021	92012
632	158293	91775
633	158543	91525
634	158709	91226
635	158855	90917
636	159045	90633
637	159247	90356
638	159412	90059
639	159594	89772
640	159983	89600
641	160219	89343
642	160449	89082
643	160646	88804
644	160796	88500
645	160966	88207
646	161214	87957
647	161405	87677
648	161755	87482
649	162082	87275
650	162326	87022
651	162487	86726
652	162635	86423
653	162772	86115
654	162968	85838
655	163138	85548
656	163310	85259
657	163596	85030
658	163880	84800
659	164215	84595
660	164410	84319
661	164545	84012
662	164709	83721
663	164844	83415
664	165031	83136
665	165168	82832
666	165347	82549
667	165614	82311
668	165966	82114
669	166223	81871
670	166399	81587
671	166565	81299
672	166724	81008
673	166859	80706
674	167098	80454
675	167247	80159
676	167472	79902
677	167779	79683
678	168086	79463
679	168331	79214
680	168472	78917
681	168640	78633
682	168856	78371
683	169026	78088
684	169166	77792
685	169349	77515
686	169676	77305
687	170020	77102
688	170285	76863
689	170419	76565
690	170757	76358
691	171242	76217
692	171527	75986
693	171771	75737
694	172095	75523
695	172312	75262
696	172456	74970
697	172604	74679
698	172775	74399
699	172914	74106
700	173107	73836
701	173269	73553
702	173560	73324
703	173893	73114
704	174187	72886
705	174328	72595
706	174498	72317
707	174706	72054
708	174841	71761
709	175044	71497
710	175180	71205
711	175448	70967
712	175757	70746
713	176154	70560
714	176371	70301
715	176506	70011
716	176664	69729
717	176794	69437
718	176976	69166
719	177304	68951
720	177589	68720
721	177931	68510
722	178267	68298
723	178407	68011
724	178590	67741
725	178750	67462
726	178890	67176
727	179060	66901
728	179269	66641
729	179586	66422
730	179895	66199
731	180187	65970
732	180362	65698
733	180525	65422
734	180694	65148
735	180833	64864
736	181035	64603
737	181167	64317
738	181330	64042
739	181654	63824
740	181989	63610
741	182258	63372
742	182415	63096
743	182570	62820
744	182718	62541
745	182886	62269
746	183149	62030
747	183287	61749
748	183592	61524
749	183909	61303
750	184226	61081
751	184356	60798
752	184506	60522
753	184665	60248
754	184802	59968
755	184937	59688
756	185121	59424
757	185328	59168
758	185629	58941
759	185987	58732
760	186209	58481
761	186355	58205
762	186508	57932
763	186662	57660
764	186807	57385
765	186979	57118
766	187150	56852
767	187396	56609
768	187759	56401
769	188038	56167
770	188234	55908
771	188381	55635
772	188536	55365
773	188705	55100
774	188842	54825
775	189142	54597
776	189413	54362
777	190215	54277
778	190454	54031
779	190617	53764
780	190785	53498
781	190926	53224
782	191102	52962
783	191285	52700
784	191474	52441
785	191828	52228
786	192196	52017
787	192513	51792
788	192690	51530
789	192845	51262
790	193011	50997
791	193242	50750
792	193415	50488
793	193637	50238
794	194152	50064
795	194385	49817
796	194574	49559
797	194730	49292
798	194932	49037
799	195146	48786
800	195283	48516
801	195452	48253
802	195739	48020
803	196042	47791
804	196333	47559
805	196503	47297
806	196656	47031
807	196813	46767
808	196972	46504
809	197152	46245
810	197378	45998
811	197647	45760
812	197943	45529
813	198275	45306
814	198431	45042
815	198632	44789
816	198803	44530
817	198961	44267
818	199162	44015
819	199328	43755
820	199613	43521
821	200047	43319
822	200305	43079
823	200457	42816
824	200599	42551
825	200766	42292
826	200965	42039
827	201156	41786
828	201302	41523
829	201584	41288
830	201859	41052
831	202245	40838
832	202393	40575
833	202555	40316
834	202716	40057
835	202890	39801
836	203059	39544
837	203231	39288
838	203478	39046
839	203775	38814
840	204049	38577
841	204338	38343
842	204541	38093
843	204730	37841
844	204897	37584
845	205101	37335
846	205235	37073
847	205377	36813
848	205749	36593
849	206003	36353
850	206354	36130
851	206513	35873
852	206639	35610
853	206837	35361
854	207020	35108
855	209247	35200
856	209989	35039
857	210504	34838
858	212096	34814
859	212947	34665
860	213410	34453
861	213789	34226
862	214238	34010
863	214400	33748
864	214571	33487
865	214719	33224
866	214859	32959
867	215008	32697
868	215268	32451
869	215509	32202
870	215795	31960
871	216119	31723
872	216290	31465
873	216456	31205
874	216596	30942
875	216746	30680
876	216905	30421
877	217037	30157
878	217260	29907
879	217547	29665
880	217876	29429
881	218211	29193
882	218346	28931
883	218495	28671
884	218631	28409
885	218812	28154
886	218960	27894
887	219116	27636
888	219385	27392
889	219673	27150
890	219957	26908
891	220235	26665
892	220371	26405
893	220520	26146
894	220669	25888
895	220805	25629
896	220959	25372
897	221136	25117
898	221360	24869
899	221707	24634
900	222004	24393
901	222298	24152
902	222472	23897
903	222614	23640
904	222815	23389
905	222957	23132
906	223118	22877
907	223314	22626
908	223569	22381
909	223829	22136
910	224104	21893
911	224339	21646
912	224474	21390
913	224656	21138
914	224923	20894
915	225107	20643
916	225271	20389
917	225494	20142
918	225860	19907
919	226176	19667
920	226390	19418
921	226541	19165
922	226677	18910
923	226827	18656
924	226991	18404
925	227183	18155
926	227368	17904
927	227669	17664
928	228364	17453
929	229089	17243
930	229357	16998
931	229675	16757
932	229959	16513
933	230437	16283
934	230787	16044
935	231150	15805
936	231361	15555
937	231644	15311
938	231948	15067
939	232707	14853
940	233089	14614
941	233460	14374
942	233749	14129
943	234021	13882
944	234387	13641
945	236014	13472
946	237152	13272
947	237640	13035
948	238067	12793
949	238426	12548
950	238671	12297
951	239221	12061
952	239908	11831
953	240368	11590
954	240856	11349
955	241385	11109
956	241722	10861
957	242251	10620
958	242588	10371
959	242992	10124
960	243344	9875
961	243615	9623
962	244000	9374
963	244446	9128
964	244951	8884
965	245539	8642
966	246466	8410
967	247091	8168
968	247257	7910
969	247408	7651
970	247698	7397
971	247976	7143
972	248400	6892
973	248612	6636
974	248750	6378
975	248915	6120
976	249075	5863
977	249270	5607
978	249443	5350
979	249688	5095
980	250082	4843
981	250426	4590
982	250633	4334
983	250771	4077
984	250949	3821
985	251097	3565
986	251286	3309
987	251435	3053
988	251665	2799
989	252010	2545
990	252368	2291
991	252588	2037
992	252743	1781
993	252890	1526
994	253043	1271
995	253230	1016
996	253405	762
997	253609	508
998	253963	254
999	254340	0
